USER_PHONE,USER_NAME,USER_BIRTH,USER_SEX,USER_MAIL,USER_IMAGE,USER_REG,USER_RENT_CNT
010-0000-0000,±ËπŒ√∂,19980820.0,True,2453288@naver.com,,True,0.0
010-0000-0000,±ËπŒ√∂,19980820.0,True,2453288@naver.com,,True,0.0
010-1212-1212,¿ÃπŒ√∂,20000323.0,False,nate@nate.com,,True,4.0
010-1212-1212,¿ÃπŒ√∂,20000323.0,False,nate@nate.com,,True,4.0
010-1212-1212,¿ÃπŒ√∂,20000323.0,False,nate@nate.com,,True,4.0
010-1212-1212,¿ÃπŒ√∂,20000323.0,False,nate@nate.com,,True,4.0
010-1212-1212,¿ÃπŒ√∂,20000323.0,False,nate@nate.com,,True,4.0
010-1234-0000,±ËπŒ√∂,19980820.0,True,2453288@naver.com,C:\Users\Python310,True,0.0
010-1234-0000,±ËπŒ√∂,19980820.0,True,2453288@naver.com,C:\Users\Python310,True,0.0
010-1234-0000,±ËπŒ√∂,19980820.0,True,2453288@naver.com,C:\Users\Python310,True,0.0
010-1212-1212,¿ÃπŒ√∂,20000323,False,nate@nate.com,,True,4.0
